ContractID,LayerID,LOB,InceptionDate,ExpirationDate,Perils,DedType,DedAmt1,DedAmt2,LimitType,Limit1,Limit2,AttachmentAmt,Premium,Currency,InsuredName,SubLimitArea,SubLimitOcc,SubLimitPart,SubLimitLimitType,SubLimitDedType,SubLimitDedAmt1,SubLimitDedAmt2
407580,498947,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,500000000,100000000,500000000,0,USD,ComplexComml,WSAOZ_20M,1000000000,0,B,MI2,20000000,0
407580,498947,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,500000000,100000000,500000000,0,USD,ComplexComml,WSAOZ_2M,1000000000,0,B,MI2,2000000,0
407580,498947,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,500000000,100000000,500000000,0,USD,ComplexComml,WSAOZ_500K,1000000000,0,B,MI2,500000,0
407580,498950,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,350000000,144166667,1900000000,0,USD,ComplexComml,WSAOZ_2M,2250000000,0,B,MI2,2000000,0
407580,498950,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,350000000,144166667,1900000000,0,USD,ComplexComml,WSAOZ_500K,2250000000,0,B,MI2,500000,0
407580,498950,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,350000000,144166667,1900000000,0,USD,ComplexComml,WSUD1_20M,2250000000,0,B,MI2,20000000,0
407580,498947,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,500000000,100000000,500000000,0,USD,ComplexComml,WSUD1_20M,1000000000,0,B,MI2,20000000,0
407580,498949,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,400000000,181333333,1500000000,0,USD,ComplexComml,WSAOZ_20M,1900000000,0,B,MI2,20000000,0
407580,498949,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,400000000,181333333,1500000000,0,USD,ComplexComml,WSAOZ_2M,1900000000,0,B,MI2,2000000,0
407580,498949,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,400000000,181333333,1500000000,0,USD,ComplexComml,WSAOZ_500K,1900000000,0,B,MI2,500000,0
407580,498949,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,400000000,181333333,1500000000,0,USD,ComplexComml,WSUD1_20M,1900000000,0,B,MI2,20000000,0
407580,498950,ComplexComml,06/01/2021,05/31/2022,PWA,N,0,0,E,350000000,144166667,1900000000,0,USD,ComplexComml,WSAOZ_20M,2250000000,0,B,MI2,20000000,0
407581,498954,ComplexComml,06/09/2020,07/31/2021,PWA,MI2,25000,0,E,125000000,125000000,75000000,0,USD,ComplexComml,NM,100000000,0,B,MI2,25000,0
407581,498954,ComplexComml,06/09/2020,07/31/2021,PWA,MI2,25000,0,E,125000000,125000000,75000000,0,USD,ComplexComml,TIER1,100000000,0,B,MI2,100000,0
407579,498943,ComplexComml,04/01/2021,03/31/2022,PWA,N,0,0,E,60000000,4000000,50000000,0,USD,ComplexComml,100KDED,110000000,0,B,MI2,100000,0
407579,498943,ComplexComml,04/01/2021,03/31/2022,PWA,N,0,0,E,60000000,4000000,50000000,0,USD,ComplexComml,25KDED,110000000,0,B,MI2,25000,0
407579,498943,ComplexComml,04/01/2021,03/31/2022,PWA,N,0,0,E,60000000,4000000,50000000,0,USD,ComplexComml,50KDED,110000000,0,B,MI2,50000,0
407579,498943,ComplexComml,04/01/2021,03/31/2022,PWA,N,0,0,E,60000000,4000000,50000000,0,USD,ComplexComml,hufl,110000000,0,B,MI2,250000,0
407579,498943,ComplexComml,04/01/2021,03/31/2022,PWA,N,0,0,E,60000000,4000000,50000000,0,USD,ComplexComml,HUUD1,110000000,0,B,MI2,250000,0
407579,498943,ComplexComml,04/01/2021,03/31/2022,PWA,N,0,0,E,60000000,4000000,50000000,0,USD,ComplexComml,wsaoz,110000000,0,B,MI2,250000,0
407578,498935,ComplexComml,05/01/2021,04/30/2022,PWA,BL,16450759.999563951,0,E,82253799.997819752,23031063.999389529,493522799.98691851,0,USD,ComplexComml,bridges,575776599.98473823,0,B,MI2,16450759.999563951,0
407578,498935,ComplexComml,05/01/2021,04/30/2022,PWA,BL,16450759.999563951,0,E,82253799.997819752,23031063.999389529,493522799.98691851,0,USD,ComplexComml,Tunnels,575776599.98473823,0,B,MI2,16450759.999563951,0
407578,498931,ComplexComml,05/01/2021,04/30/2022,PWA,BL,16450759.999563951,0,E,82253799.997819752,37014209.999018885,411268999.98909879,0,USD,ComplexComml,bridges,493522799.98691857,0,B,MI2,16450759.999563951,0
407578,498931,ComplexComml,05/01/2021,04/30/2022,PWA,BL,16450759.999563951,0,E,82253799.997819752,37014209.999018885,411268999.98909879,0,USD,ComplexComml,Tunnels,493522799.98691857,0,B,MI2,16450759.999563951,0
407578,498939,ComplexComml,05/01/2021,04/30/2022,PWA,BL,16450759.999563951,0,E,41126899.998909876,41126899.998909876,575776599.98473823,0,USD,ComplexComml,bridges,616903499.98364806,0,B,MI2,16450759.999563951,0
407578,498939,ComplexComml,05/01/2021,04/30/2022,PWA,BL,16450759.999563951,0,E,41126899.998909876,41126899.998909876,575776599.98473823,0,USD,ComplexComml,Tunnels,616903499.98364806,0,B,MI2,16450759.999563951,0
407577,498928,ComplexComml,07/01/2020,07/31/2021,PWA,MI2,5000000,0,E,250000000,250000000,250000000,0,USD,ComplexComml,tier1 locs,100000000,0,B,MI2,5000000,0
407582,498958,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,50000000,13500000,100000000,0,USD,ComplexComml,100KDED_LOC,150000000,0,B,MI2,100000,0
407582,498958,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,50000000,13500000,100000000,0,USD,ComplexComml,1MDED_LOC,300000000,0,B,MI2,1000000,0
407582,498958,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,50000000,13500000,100000000,0,USD,ComplexComml,30KDED_LOC,150000000,0,B,MI2,30000,0
407582,498958,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,50000000,13500000,100000000,0,USD,ComplexComml,50KDED_LOC,150000000,0,B,MI2,50000,0
407582,498962,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,150000000,105000000,150000000,0,USD,ComplexComml,100KDED_LOC,300000000,0,B,MI2,100000,0
407582,498962,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,150000000,105000000,150000000,0,USD,ComplexComml,1MDED_LOC,300000000,0,B,MI2,1000000,0
407582,498962,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,150000000,105000000,150000000,0,USD,ComplexComml,30KDED_LOC,300000000,0,B,MI2,30000,0
407582,498962,ComplexComml,03/08/2021,03/07/2022,PWA,MI2,25000,0,E,150000000,105000000,150000000,0,USD,ComplexComml,50KDED_LOC,300000000,0,B,MI2,50000,0
407583,498966,ComplexComml,05/31/2021,04/30/2022,PWA,MI2,1000000,0,E,50000000,8500000,200000000,0,USD,ComplexComml,100k,250000000,0,B,MI2,100000,0
407583,498966,ComplexComml,05/31/2021,04/30/2022,PWA,MI2,1000000,0,E,50000000,8500000,200000000,0,USD,ComplexComml,1M,250000000,0,B,MI2,1000000,0
407583,498966,ComplexComml,05/31/2021,04/30/2022,PWA,MI2,1000000,0,E,50000000,8500000,200000000,0,USD,ComplexComml,250k,250000000,0,B,MI2,250000,0
407583,498966,ComplexComml,05/31/2021,04/30/2022,PWA,MI2,1000000,0,E,50000000,8500000,200000000,0,USD,ComplexComml,domican republic,250000000,0,B,MI2,15000000,0
407583,498966,ComplexComml,05/31/2021,04/30/2022,PWA,MI2,1000000,0,E,50000000,8500000,200000000,0,USD,ComplexComml,Tier1,250000000,0,B,MI2,15000000,0
407583,498966,ComplexComml,05/31/2021,04/30/2022,PWA,MI2,1000000,0,E,50000000,8500000,200000000,0,USD,ComplexComml,Wsud2,250000000,0,B,MI2,500000,0
407576,498923,ComplexComml,06/30/2020,07/31/2021,PWA,BL,30000000,0,E,100000000,10000000,150000000,0,USD,ComplexComml,,,,,,,
407575,498918,ComplexComml,06/02/2020,07/31/2021,PWA,MM2,500000,1000000,E,750000000,375000000,1000000000,0,USD,ComplexComml,,,,,,,
407575,498920,ComplexComml,06/02/2020,07/31/2021,PWA,MM2,500000,1000000,E,500000000,37500000,500000000,0,USD,ComplexComml,,,,,,,
407574,498914,ComplexComml,07/01/2020,07/31/2021,PWA,BL,1000000,0,E,500000000,250000000,600000000,0,USD,ComplexComml,,,,,,,
407574,498916,ComplexComml,07/01/2020,07/31/2021,PWA,BL,1000000,0,E,400000000,400000000,1100000000,0,USD,ComplexComml,,,,,,,
407573,498912,ComplexComml,03/01/2021,03/01/2022,PWA,MM2,1000000,10000000,E,1100000000,275405900,500000000,0,USD,ComplexComml,,,,,,,
407572,498909,ComplexComml,02/28/2021,02/27/2022,PWA,BL,10000000,0,E,145000000,60903495,100000000,0,USD,ComplexComml,STP Values,245000000,0,B,MI2,20000000,0
